STATION_ID,DATETIME,VALUE,UNITS,SENSOR_NUMBER,DURATION,DATA_FLAG,SENSOR_TYPE,OBS_DATE
SW3,2005-01-01,18682315.911494434,M3,15,M, ,STORAGE,20050101 0000
SW3,2005-02-01,27824883.291396502,M3,15,M, ,STORAGE,20050201 0000
SW3,2005-03-01,28667351.386441447,M3,15,M, ,STORAGE,20050301 0000
SW3,2005-04-01,28161623.833046973,M3,15,M, ,STORAGE,20050401 0000
SW3,2005-05-01,27499244.086283963,M3,15,M, ,STORAGE,20050501 0000
SW3,2005-06-01,24686905.496675663,M3,15,M, ,STORAGE,20050601 0000
SW3,2005-07-01,21453949.600463666,M3,15,M, ,STORAGE,20050701 0000
SW3,2005-08-01,18365311.079244725,M3,15,M, ,STORAGE,20050801 0000
SW3,2005-09-01,16396674.066518916,M3,15,M, ,STORAGE,20050901 0000
SW3,2005-10-01,14870857.033472659,M3,15,M, ,STORAGE,20051001 0000
SW3,2005-11-01,11630500.246235376,M3,15,M, ,STORAGE,20051101 0000
SW3,2005-12-01,12100456.826340975,M3,15,M, ,STORAGE,20051201 0000
