STATION_ID,DATETIME,VALUE,UNITS,SENSOR_NUMBER,DURATION,DATA_FLAG,SENSOR_TYPE,OBS_DATE
SWB,2005-01-01,5995955.212318397,M3,15,M, ,STORAGE,20050101 0000
SWB,2005-02-01,5830668.646087032,M3,15,M, ,STORAGE,20050201 0000
SWB,2005-03-01,6694105.932370282,M3,15,M, ,STORAGE,20050301 0000
SWB,2005-04-01,13198255.66175825,M3,15,M, ,STORAGE,20050401 0000
SWB,2005-05-01,21657474.103659004,M3,15,M, ,STORAGE,20050501 0000
SWB,2005-06-01,22269281.095082562,M3,15,M, ,STORAGE,20050601 0000
SWB,2005-07-01,21910337.88035624,M3,15,M, ,STORAGE,20050701 0000
SWB,2005-08-01,19249717.556766283,M3,15,M, ,STORAGE,20050801 0000
SWB,2005-09-01,14300988.424525714,M3,15,M, ,STORAGE,20050901 0000
SWB,2005-10-01,9173404.425840758,M3,15,M, ,STORAGE,20051001 0000
SWB,2005-11-01,6003356.103343682,M3,15,M, ,STORAGE,20051101 0000
SWB,2005-12-01,12333584.893637452,M3,15,M, ,STORAGE,20051201 0000
