STATION_ID,DATETIME,VALUE,UNITS,SENSOR_NUMBER,DURATION,DATA_FLAG,SENSOR_TYPE,OBS_DATE
TAE,2005-01-01,67218592.73715101,M3,15,M, ,STORAGE,20050101 0000
TAE,2005-02-01,45520413.732852936,M3,15,M, ,STORAGE,20050201 0000
TAE,2005-03-01,33659252.38299618,M3,15,M, ,STORAGE,20050301 0000
TAE,2005-04-01,32709471.368084602,M3,15,M, ,STORAGE,20050401 0000
TAE,2005-05-01,75376841.61069018,M3,15,M, ,STORAGE,20050501 0000
TAE,2005-06-01,135169873.68580523,M3,15,M, ,STORAGE,20050601 0000
TAE,2005-07-01,150837559.98633358,M3,15,M, ,STORAGE,20050701 0000
TAE,2005-08-01,147253061.76642054,M3,15,M, ,STORAGE,20050801 0000
TAE,2005-09-01,137383973.584203,M3,15,M, ,STORAGE,20050901 0000
TAE,2005-10-01,119756284.64381167,M3,15,M, ,STORAGE,20051001 0000
TAE,2005-11-01,106271861.1957424,M3,15,M, ,STORAGE,20051101 0000
TAE,2005-12-01,79840812.38077457,M3,15,M, ,STORAGE,20051201 0000
