STATION_ID,DATETIME,VALUE,UNITS,SENSOR_NUMBER,DURATION,DATA_FLAG,SENSOR_TYPE,OBS_DATE
TFR,2005-01-01,13761956.861517457,M3,15,M, ,STORAGE,20050101 0000
TFR,2005-02-01,13412881.501491515,M3,15,M, ,STORAGE,20050201 0000
TFR,2005-03-01,12873849.938483257,M3,15,M, ,STORAGE,20050301 0000
TFR,2005-04-01,13172352.543169752,M3,15,M, ,STORAGE,20050401 0000
TFR,2005-05-01,13436317.656404916,M3,15,M, ,STORAGE,20050501 0000
TFR,2005-06-01,13784159.534593312,M3,15,M, ,STORAGE,20050601 0000
TFR,2005-07-01,13023101.240826504,M3,15,M, ,STORAGE,20050701 0000
TFR,2005-08-01,13254995.826285435,M3,15,M, ,STORAGE,20050801 0000
TFR,2005-09-01,13247594.935260149,M3,15,M, ,STORAGE,20050901 0000
TFR,2005-10-01,13405480.610466229,M3,15,M, ,STORAGE,20051001 0000
TFR,2005-11-01,13412881.501491515,M3,15,M, ,STORAGE,20051101 0000
TFR,2005-12-01,12190501.000481943,M3,15,M, ,STORAGE,20051201 0000
