STATION_ID,DATETIME,VALUE,UNITS,SENSOR_NUMBER,DURATION,DATA_FLAG,SENSOR_TYPE,OBS_DATE
THC,2005-01-01,10447591.164027324,M3,15,M, ,STORAGE,20050101 0000
THC,2005-02-01,28468760.8105963,M3,15,M, ,STORAGE,20050201 0000
THC,2005-03-01,92807173.4570739,M3,15,M, ,STORAGE,20050301 0000
THC,2005-04-01,121275934.2676702,M3,15,M, ,STORAGE,20050401 0000
THC,2005-05-01,301216264.7290995,M3,15,M, ,STORAGE,20050501 0000
THC,2005-06-01,379419013.229611,M3,15,M, ,STORAGE,20050601 0000
THC,2005-07-01,368811069.4267025,M3,15,M, ,STORAGE,20050701 0000
THC,2005-08-01,289251490.90488875,M3,15,M, ,STORAGE,20050801 0000
THC,2005-09-01,202291021.35779,M3,15,M, ,STORAGE,20050901 0000
THC,2005-10-01,157268934.28730625,M3,15,M, ,STORAGE,20051001 0000
THC,2005-11-01,128775503.839959,M3,15,M, ,STORAGE,20051101 0000
THC,2005-12-01,299736086.5240425,M3,15,M, ,STORAGE,20051201 0000
