STATION_ID,DATETIME,VALUE,UNITS,SENSOR_NUMBER,DURATION,DATA_FLAG,SENSOR_TYPE,OBS_DATE
THD,2005-01-01,16220286.163749624,M3,15,M, ,STORAGE,20050101 0000
THD,2005-02-01,15943986.232138984,M3,15,M, ,STORAGE,20050201 0000
THD,2005-03-01,15604778.726813423,M3,15,M, ,STORAGE,20050301 0000
THD,2005-04-01,15752796.547319122,M3,15,M, ,STORAGE,20050401 0000
THD,2005-05-01,16279493.291951904,M3,15,M, ,STORAGE,20050501 0000
THD,2005-06-01,16215352.236399435,M3,15,M, ,STORAGE,20050601 0000
THD,2005-07-01,15909448.740687653,M3,15,M, ,STORAGE,20050701 0000
THD,2005-08-01,15956321.05051446,M3,15,M, ,STORAGE,20050801 0000
THD,2005-09-01,15897113.92231218,M3,15,M, ,STORAGE,20050901 0000
THD,2005-10-01,16101871.907345064,M3,15,M, ,STORAGE,20051001 0000
THD,2005-11-01,16058700.0430309,M3,15,M, ,STORAGE,20051101 0000
THD,2005-12-01,16295528.555840021,M3,15,M, ,STORAGE,20051201 0000
