STATION_ID,DATETIME,VALUE,UNITS,SENSOR_NUMBER,DURATION,DATA_FLAG,SENSOR_TYPE,OBS_DATE
TLC,2005-01-01,29048497.274243623,M3,15,M, ,STORAGE,20050101 0000
TLC,2005-02-01,36456789.19055391,M3,15,M, ,STORAGE,20050201 0000
TLC,2005-03-01,42086400.2971207,M3,15,M, ,STORAGE,20050301 0000
TLC,2005-04-01,39372740.2545162,M3,15,M, ,STORAGE,20050401 0000
TLC,2005-05-01,40038820.44679185,M3,15,M, ,STORAGE,20050501 0000
TLC,2005-06-01,38373619.96610272,M3,15,M, ,STORAGE,20050601 0000
TLC,2005-07-01,39372740.2545162,M3,15,M, ,STORAGE,20050701 0000
TLC,2005-08-01,42431775.211633995,M3,15,M, ,STORAGE,20050801 0000
TLC,2005-09-01,38373619.96610272,M3,15,M, ,STORAGE,20050901 0000
TLC,2005-10-01,12159663.954543255,M3,15,M, ,STORAGE,20051001 0000
TLC,2005-11-01,10509265.255904699,M3,15,M, ,STORAGE,20051101 0000
TLC,2005-12-01,13913675.1275358,M3,15,M, ,STORAGE,20051201 0000
