STATION_ID,DATETIME,VALUE,UNITS,SENSOR_NUMBER,DURATION,DATA_FLAG,SENSOR_TYPE,OBS_DATE
TMT,2005-01-01,84053152.85599929,M3,15,M, ,STORAGE,20050101 0000
TMT,2005-02-01,69715159.97634715,M3,15,M, ,STORAGE,20050201 0000
TMT,2005-03-01,79833411.4897493,M3,15,M, ,STORAGE,20050301 0000
TMT,2005-04-01,86895095.00970873,M3,15,M, ,STORAGE,20050401 0000
TMT,2005-05-01,71322386.81067154,M3,15,M, ,STORAGE,20050501 0000
TMT,2005-06-01,74374020.87676406,M3,15,M, ,STORAGE,20050601 0000
TMT,2005-07-01,76916226.94394945,M3,15,M, ,STORAGE,20050701 0000
TMT,2005-08-01,88061968.82802866,M3,15,M, ,STORAGE,20050801 0000
TMT,2005-09-01,85656679.24481104,M3,15,M, ,STORAGE,20050901 0000
TMT,2005-10-01,67824232.31938682,M3,15,M, ,STORAGE,20051001 0000
TMT,2005-11-01,78129973.0720962,M3,15,M, ,STORAGE,20051101 0000
TMT,2005-12-01,67003966.89741775,M3,15,M, ,STORAGE,20051201 0000
