STATION_ID,DATETIME,VALUE,UNITS,SENSOR_NUMBER,DURATION,DATA_FLAG,SENSOR_TYPE,OBS_DATE
TNM,2005-01-01,4070490.0639067497,M3,15,M, ,STORAGE,20050101 0000
TNM,2005-02-01,1085464.0170417998,M3,15,M, ,STORAGE,20050201 0000
TNM,2005-03-01,5649346.81596755,M3,15,M, ,STORAGE,20050301 0000
TNM,2005-04-01,1159472.9272946499,M3,15,M, ,STORAGE,20050401 0000
TNM,2005-05-01,3441414.3267575246,M3,15,M, ,STORAGE,20050501 0000
TNM,2005-06-01,2429959.219968575,M3,15,M, ,STORAGE,20050601 0000
TNM,2005-07-01,1245816.655922975,M3,15,M, ,STORAGE,20050701 0000
TNM,2005-08-01,2355950.309715725,M3,15,M, ,STORAGE,20050801 0000
TNM,2005-09-01,2639651.13235165,M3,15,M, ,STORAGE,20050901 0000
TNM,2005-10-01,2503968.130221425,M3,15,M, ,STORAGE,20051001 0000
TNM,2005-11-01,3885467.788274625,M3,15,M, ,STORAGE,20051101 0000
TNM,2005-12-01,2294276.2178383498,M3,15,M, ,STORAGE,20051201 0000
