STATION_ID,DATETIME,VALUE,UNITS,SENSOR_NUMBER,DURATION,DATA_FLAG,SENSOR_TYPE,OBS_DATE
TRM,2005-01-01,10268736.297582937,M3,15,M, ,STORAGE,20050101 0000
TRM,2005-02-01,27563385.141836435,M3,15,M, ,STORAGE,20050201 0000
TRM,2005-03-01,72544767.3116811,M3,15,M, ,STORAGE,20050301 0000
TRM,2005-04-01,99592557.04542269,M3,15,M, ,STORAGE,20050401 0000
TRM,2005-05-01,211194293.26120785,M3,15,M, ,STORAGE,20050501 0000
TRM,2005-06-01,226981627.2999783,M3,15,M, ,STORAGE,20050601 0000
TRM,2005-07-01,149663285.27698836,M3,15,M, ,STORAGE,20050701 0000
TRM,2005-08-01,29696075.23895606,M3,15,M, ,STORAGE,20050801 0000
TRM,2005-09-01,16890066.801537916,M3,15,M, ,STORAGE,20050901 0000
TRM,2005-10-01,17461168.89232241,M3,15,M, ,STORAGE,20051001 0000
TRM,2005-11-01,21111041.64962546,M3,15,M, ,STORAGE,20051101 0000
TRM,2005-12-01,24717742.542614352,M3,15,M, ,STORAGE,20051201 0000
