STATION_ID,DATETIME,VALUE,UNITS,SENSOR_NUMBER,DURATION,DATA_FLAG,SENSOR_TYPE,OBS_DATE
TUL,2005-01-01,66833746.40383619,M3,15,M, ,STORAGE,20050101 0000
TUL,2005-02-01,62111977.92970436,M3,15,M, ,STORAGE,20050201 0000
TUL,2005-03-01,71935427.28393266,M3,15,M, ,STORAGE,20050301 0000
TUL,2005-04-01,73517984.4815061,M3,15,M, ,STORAGE,20050401 0000
TUL,2005-05-01,79925922.62756535,M3,15,M, ,STORAGE,20050501 0000
TUL,2005-06-01,79127859.87867212,M3,15,M, ,STORAGE,20050601 0000
TUL,2005-07-01,79247507.61691423,M3,15,M, ,STORAGE,20050701 0000
TUL,2005-08-01,80715351.00359575,M3,15,M, ,STORAGE,20050801 0000
TUL,2005-09-01,75577899.15021041,M3,15,M, ,STORAGE,20050901 0000
TUL,2005-10-01,69151458.77658795,M3,15,M, ,STORAGE,20051001 0000
TUL,2005-11-01,67820531.87387419,M3,15,M, ,STORAGE,20051101 0000
TUL,2005-12-01,66704230.8108937,M3,15,M, ,STORAGE,20051201 0000
