STATION_ID,DATETIME,VALUE,UNITS,SENSOR_NUMBER,DURATION,DATA_FLAG,SENSOR_TYPE,OBS_DATE
UNV,2005-01-01,212940903.5431751,M3,15,M, ,STORAGE,20050101 0000
UNV,2005-02-01,205998867.76145777,M3,15,M, ,STORAGE,20050201 0000
UNV,2005-03-01,231686127.02838445,M3,15,M, ,STORAGE,20050301 0000
UNV,2005-04-01,253665539.89164338,M3,15,M, ,STORAGE,20050401 0000
UNV,2005-05-01,329141060.0493373,M3,15,M, ,STORAGE,20050501 0000
UNV,2005-06-01,338853496.0381864,M3,15,M, ,STORAGE,20050601 0000
UNV,2005-07-01,318681134.0669345,M3,15,M, ,STORAGE,20050701 0000
UNV,2005-08-01,267522474.854652,M3,15,M, ,STORAGE,20050801 0000
UNV,2005-09-01,235530889.91602,M3,15,M, ,STORAGE,20050901 0000
UNV,2005-10-01,218605052.1411932,M3,15,M, ,STORAGE,20051001 0000
UNV,2005-11-01,206536665.84262848,M3,15,M, ,STORAGE,20051101 0000
UNV,2005-12-01,269107499.0159005,M3,15,M, ,STORAGE,20051201 0000
