STATION_ID,DATETIME,VALUE,UNITS,SENSOR_NUMBER,DURATION,DATA_FLAG,SENSOR_TYPE,OBS_DATE
USL,2005-01-01,37732209.41057802,M3,15,M, ,STORAGE,20050101 0000
USL,2005-02-01,37164807.765306175,M3,15,M, ,STORAGE,20050201 0000
USL,2005-03-01,43541908.86542675,M3,15,M, ,STORAGE,20050301 0000
USL,2005-04-01,46225965.34393011,M3,15,M, ,STORAGE,20050401 0000
USL,2005-05-01,44858033.98608993,M3,15,M, ,STORAGE,20050501 0000
USL,2005-06-01,43184199.132537976,M3,15,M, ,STORAGE,20050601 0000
USL,2005-07-01,40606222.092063695,M3,15,M, ,STORAGE,20050701 0000
USL,2005-08-01,38052914.68834037,M3,15,M,e,STORAGE,20050801 0000
USL,2005-09-01,35455201.938465334,M3,15,M,e,STORAGE,20050901 0000
USL,2005-10-01,33667886.75585901,M3,15,M,e,STORAGE,20051001 0000
USL,2005-11-01,33378018.52403535,M3,15,M, ,STORAGE,20051101 0000
USL,2005-12-01,39921639.672224835,M3,15,M,e,STORAGE,20051201 0000
