STATION_ID,DATETIME,VALUE,UNITS,SENSOR_NUMBER,DURATION,DATA_FLAG,SENSOR_TYPE,OBS_DATE
VIL,2005-01-01,32724273.150135174,M3,15,M, ,STORAGE,20050101 0000
VIL,2005-02-01,39792124.07928235,M3,15,M, ,STORAGE,20050201 0000
VIL,2005-03-01,42555123.395388745,M3,15,M, ,STORAGE,20050301 0000
VIL,2005-04-01,43319882.1346682,M3,15,M, ,STORAGE,20050401 0000
VIL,2005-05-01,43307547.316292726,M3,15,M,r,STORAGE,20050501 0000
VIL,2005-06-01,42900498.30990205,M3,15,M,r,STORAGE,20050601 0000
VIL,2005-07-01,42367634.15608153,M3,15,M, ,STORAGE,20050701 0000
VIL,2005-08-01,41630012.01722813,M3,15,M, ,STORAGE,20050801 0000
VIL,2005-09-01,41061376.890118726,M3,15,M, ,STORAGE,20050901 0000
VIL,2005-10-01,40283049.85062625,M3,15,M, ,STORAGE,20051001 0000
VIL,2005-11-01,39953710.20000107,M3,15,M, ,STORAGE,20051101 0000
VIL,2005-12-01,39889569.1444486,M3,15,M, ,STORAGE,20051201 0000
