STATION_ID,DATETIME,VALUE,UNITS,SENSOR_NUMBER,DURATION,DATA_FLAG,SENSOR_TYPE,OBS_DATE
WHI,2005-01-01,260957884.5152242,M3,15,M, ,STORAGE,20050101 0000
WHI,2005-02-01,258599467.24183336,M3,15,M, ,STORAGE,20050201 0000
WHI,2005-03-01,252905715.0797141,M3,15,M, ,STORAGE,20050301 0000
WHI,2005-04-01,293478633.16216403,M3,15,M, ,STORAGE,20050401 0000
WHI,2005-05-01,292654667.29468226,M3,15,M, ,STORAGE,20050501 0000
WHI,2005-06-01,293912818.76898074,M3,15,M, ,STORAGE,20050601 0000
WHI,2005-07-01,292616429.3577183,M3,15,M, ,STORAGE,20050701 0000
WHI,2005-08-01,292969205.1632569,M3,15,M, ,STORAGE,20050801 0000
WHI,2005-09-01,293125857.35662544,M3,15,M, ,STORAGE,20050901 0000
WHI,2005-10-01,254031883.99739498,M3,15,M, ,STORAGE,20051001 0000
WHI,2005-11-01,252469062.5092223,M3,15,M, ,STORAGE,20051101 0000
WHI,2005-12-01,258452682.90316522,M3,15,M, ,STORAGE,20051201 0000
