STATION_ID,DATETIME,VALUE,UNITS,SENSOR_NUMBER,DURATION,DATA_FLAG,SENSOR_TYPE,OBS_DATE
WHR,2005-01-01,41258733.98412632,M3,15,M, ,STORAGE,20050101 0000
WHR,2005-02-01,44690280.45618347,M3,15,M, ,STORAGE,20050201 0000
WHR,2005-03-01,49864736.764695235,M3,15,M, ,STORAGE,20050301 0000
WHR,2005-04-01,50376631.72727744,M3,15,M, ,STORAGE,20050401 0000
WHR,2005-05-01,50229847.38860929,M3,15,M, ,STORAGE,20050501 0000
WHR,2005-06-01,49499626.14078117,M3,15,M, ,STORAGE,20050601 0000
WHR,2005-07-01,48631254.92714773,M3,15,M, ,STORAGE,20050701 0000
WHR,2005-08-01,47771518.08637712,M3,15,M, ,STORAGE,20050801 0000
WHR,2005-09-01,46708256.74241118,M3,15,M, ,STORAGE,20050901 0000
WHR,2005-10-01,45867022.12920378,M3,15,M, ,STORAGE,20051001 0000
WHR,2005-11-01,45172571.85466454,M3,15,M, ,STORAGE,20051101 0000
WHR,2005-12-01,45034421.88885922,M3,15,M, ,STORAGE,20051201 0000
