STATION_ID,DATETIME,VALUE,UNITS,SENSOR_NUMBER,DURATION,DATA_FLAG,SENSOR_TYPE,OBS_DATE
WRS,2005-01-01,301018907.6350919,M3,15,M, ,STORAGE,20050101 0000
WRS,2005-02-01,307030898.1112984,M3,15,M, ,STORAGE,20050201 0000
WRS,2005-03-01,303818911.4063247,M3,15,M, ,STORAGE,20050301 0000
WRS,2005-04-01,299981549.40971446,M3,15,M, ,STORAGE,20050401 0000
WRS,2005-05-01,302840760.30914956,M3,15,M, ,STORAGE,20050501 0000
WRS,2005-06-01,296948417.5711851,M3,15,M, ,STORAGE,20050601 0000
WRS,2005-07-01,288256071.0619879,M3,15,M, ,STORAGE,20050701 0000
WRS,2005-08-01,278842137.6778254,M3,15,M, ,STORAGE,20050801 0000
WRS,2005-09-01,269667499.7701471,M3,15,M, ,STORAGE,20050901 0000
WRS,2005-10-01,261022025.57077664,M3,15,M, ,STORAGE,20051001 0000
WRS,2005-11-01,254908889.58389124,M3,15,M, ,STORAGE,20051101 0000
WRS,2005-12-01,365470800.61062384,M3,15,M, ,STORAGE,20051201 0000
