STATION_ID,DATETIME,VALUE,UNITS,SENSOR_NUMBER,DURATION,DATA_FLAG,SENSOR_TYPE,OBS_DATE
WSN,2005-01-01,45126933.026675284,M3,15,M, ,STORAGE,20050101 0000
WSN,2005-02-01,49355308.765788116,M3,15,M, ,STORAGE,20050201 0000
WSN,2005-03-01,53716900.543356076,M3,15,M, ,STORAGE,20050301 0000
WSN,2005-04-01,46255568.90803125,M3,15,M,r,STORAGE,20050401 0000
WSN,2005-05-01,108848604.75437914,M3,15,M, ,STORAGE,20050501 0000
WSN,2005-06-01,154899415.6773775,M3,15,M, ,STORAGE,20050601 0000
WSN,2005-07-01,133581149.07904406,M3,15,M, ,STORAGE,20050701 0000
WSN,2005-08-01,130504845.37620059,M3,15,M, ,STORAGE,20050801 0000
WSN,2005-09-01,122342896.05714878,M3,15,M, ,STORAGE,20050901 0000
WSN,2005-10-01,99028855.84566349,M3,15,M, ,STORAGE,20051001 0000
WSN,2005-11-01,63019820.56213932,M3,15,M, ,STORAGE,20051101 0000
WSN,2005-12-01,56384921.75797132,M3,15,M, ,STORAGE,20051201 0000
