STATION_ID,DATETIME,VALUE,UNITS,SENSOR_NUMBER,DURATION,DATA_FLAG,SENSOR_TYPE,OBS_DATE,RESERVOIR_NAME,STATION_ID_INPUT
GBR,2005-01-01,17071388.6316574,M3,15,M, ,STORAGE,20050101 0000,GERBER,GBR
GBR,2005-02-01,17441433.182921648,M3,15,M,e,STORAGE,20050201 0000,GERBER,GBR
GBR,2005-03-01,26698714.373715635,M3,15,M, ,STORAGE,20050301 0000,GERBER,GBR
CLK,2005-01-01,78979842.05816641,M3,15,M, ,STORAGE,20050101 0000,CLEAR LK - KLAMATH R,CLK
CLK,2005-02-01,79177199.15217403,M3,15,M,e,STORAGE,20050201 0000,CLEAR LK - KLAMATH R,CLK
CLK,2005-03-01,85159586.06427939,M3,15,M,r,STORAGE,20050301 0000,CLEAR LK - KLAMATH R,CLK
KLM,2005-01-01,436421909.3881936,M3,15,M, ,STORAGE,20050101 0000,UPPER KLAMATH,KLM
KLM,2005-02-01,430941549.58397007,M3,15,M,e,STORAGE,20050201 0000,UPPER KLAMATH,KLM
KLM,2005-03-01,571803941.950057,M3,15,M,r,STORAGE,20050301 0000,UPPER KLAMATH,KLM
DRE,2005-01-01,30405327.295545872,M3,15,M, ,STORAGE,20050101 0000,DWINNELL RESERVOIR NEAR EDGEWOOD,DRE
DRE,2005-02-01,34475817.35945262,M3,15,M, ,STORAGE,20050201 0000,DWINNELL RESERVOIR NEAR EDGEWOOD,DRE
DRE,2005-03-01,38484633.331482,M3,15,M, ,STORAGE,20050301 0000,DWINNELL RESERVOIR NEAR EDGEWOOD,DRE
CLE,2005-01-01,1958253562.617335,M3,15,M, ,STORAGE,20050101 0000,TRINITY LAKE,CLE
CLE,2005-02-01,2064754851.4348612,M3,15,M, ,STORAGE,20050201 0000,TRINITY LAKE,CLE
CLE,2005-03-01,2271911958.641776,M3,15,M, ,STORAGE,20050301 0000,TRINITY LAKE,CLE
LEW,2005-01-01,17472270.228860337,M3,15,M, ,STORAGE,20050101 0000,LEWISTON,LEW
LEW,2005-02-01,17004780.612429835,M3,15,M, ,STORAGE,20050201 0000,LEWISTON,LEW
LEW,2005-03-01,17490772.45642355,M3,15,M, ,STORAGE,20050301 0000,LEWISTON,LEW
RTD,2005-01-01,61244840.19790847,M3,15,M,r,STORAGE,20050101 0000,RUTH DAM,RTD
RTD,2005-02-01,60118671.2802276,M3,15,M,r,STORAGE,20050201 0000,RUTH DAM,RTD
RTD,2005-03-01,61912153.87202167,M3,15,M,r,STORAGE,20050301 0000,RUTH DAM,RTD
LPY,2005-01-01,75242392.09039749,M3,15,M,r,STORAGE,20050101 0000,LAKE PILLSBURY NR POTTER VLY 24HR AVG,LPY
LPY,2005-02-01,83630068.5857205,M3,15,M,r,STORAGE,20050201 0000,LAKE PILLSBURY NR POTTER VLY 24HR AVG,LPY
LPY,2005-03-01,81656497.6456445,M3,15,M,r,STORAGE,20050301 0000,LAKE PILLSBURY NR POTTER VLY 24HR AVG,LPY
COY,2005-01-01,87455095.7639553,M3,15,M, ,STORAGE,20050101 0000,COYOTE (LAKE MENDOCINO),COY
COY,2005-02-01,88161880.85687001,M3,15,M, ,STORAGE,20050201 0000,COYOTE (LAKE MENDOCINO),COY
COY,2005-03-01,107356091.73094666,M3,15,M, ,STORAGE,20050301 0000,COYOTE (LAKE MENDOCINO),COY
WRS,2005-01-01,301018907.6350919,M3,15,M, ,STORAGE,20050101 0000,WARM SPRINGS (LAKE SONOMA),WRS
